"المعرف","رقم التصريح","رقم الطلب","تاريخ التصريح","البلدية","نوع التصريح","نوع الشبكة","الجهة المالكة","المدينة","الحي","الشارع","الطول (م)","الحالة","نوع العمل","حالة العمل","تاريخ الطلب","تاريخ البدء","تاريخ الانتهاء","مرجع المدة","المدة (أشهر)","المدة (أيام)","طريقة الحفر","نوع الطريق","نوع الإغلاق","الخطة المرورية","طول الحفر","العرض","العمق","الرسوم","إحداثيات البداية","إحداثيات النهاية","يوجد مخالفة","عدد المخالفات","رقم المقاول","اسم المقاول","رقم الاستشاري","اسم الاستشاري","حالة السداد","رقم الفاتورة","تاريخ السداد","المبلغ المدفوع"
"10125","47271179882","470521567868","2025-12-03T06:00:00","القطيف","تمديد تصريح حفر","شبكة الري","المؤسسة العامة للري","القطيف","حلة محيش","-","819.21","سارية","الخطوط الرئيسية للخدمات","بدأ الحفر","2023-07-19T00:00:00","2025-12-03T00:00:00","2025-07-18T00:00:00","-","3","90","عادي (مفتوح)","طريق محلي","إغلاق جزئي","لا يلزم خطة مرورية","545.05","115","1.4","87753.05","26.5368881495312,50.0063846400705","26.5365861151647,50.0009257966371","لا","0","7001638555","شركة فأس الحفر للمقاولات","7001910525","المهندسون الاستشاريون العرب محرم باخوم وشريكه للاستشارات الهندسية","-","-","-","-"
"23557","47269460054","470621916282","2025-12-21T05:00:00","صفوى","تمديد تصريح حفر","شبكة الكهرباء","شركة الكهرباء 13.8 ك.ف","صفوى","الاوجام","غير معروف","78.42","سارية","توصيلة مباني","تم التمديد","2025-12-21T00:00:00","2025-12-21T00:00:00","2026-01-06T00:00:00","-","0.8","23","عادي (مفتوح)","طريق محلي","بدون إغلاق","نعم يلزم خطة مرورية","21.94","45","65","64174.5","26.5704803587011,49.9409468895265","26.5704707629926,49.9407269483873","لا","0","7001383046","شركة ناصر سالم آل حيدر وشريكة للمقاولات العامة شركة شخص واحد","7002522444","قمة التطوير للاستشارات الهندسية","مدفوع","260116011058","2026-01-11T15:47:28.813000","188.21"
"2603","47272102591","470320675110","2025-09-05T08:00:00","بلدية الظهران","شهادة إتمام أعمال","شبكة الكهرباء","شركة الكهرباء مشاريع 380/230/115 ك.ف","الخبر","الشفاء","المسار الاول","144.99","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2025-09-05T00:00:00","2025-09-05T00:00:00","2025-11-05T00:00:00","-","3.5","105","أفقي","طريق محلي","إغلاق جزئي","لا يلزم خطة مرورية","144.99","24","8","27838.08","26.2139828920991,50.1633840878207","26.2150272413219,50.1642584879597","نعم","1","7000033311","شركة المقاولات الوطنيه المحدوده","7009115572","المهندس نزار الكردي الملي للاستشارات الهندسية","-","-","-","-"
"2619","47272102591","470320675110","2025-09-05T08:00:00","بلدية محافظة الخبر","شهادة إتمام أعمال","شبكة الكهرباء","شركة الكهرباء مشاريع 380/230/115 ك.ف","الخبر","الشفاء","المسار الاول","144.99","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2025-09-05T00:00:00","2025-09-05T00:00:00","2025-11-05T00:00:00","-","3.5","105","أفقي","طريق محلي","إغلاق جزئي","لا يلزم خطة مرورية","144.99","24","8","27838.08","26.2139828920991,50.1633840878207","26.2150272413219,50.1642584879597","نعم","1","7000033311","شركة المقاولات الوطنيه المحدوده","7009115572","المهندس نزار الكردي الملي للاستشارات الهندسية","-","-","-","-"
"5761","47271745624","470722045072","2025-12-31T10:00:00","بلدية محافظة الخبر","تمديد تصريح حفر","شبكة الصرف","شركة المياه الوطنية مشاريع","الخبر","العقيق","غير مسمى","357.8","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2024-10-15T00:00:00","2025-12-31T00:00:00","2026-10-14T00:00:00","-","4","120","عادي (مفتوح)","طريق تجميعي","إغلاق جزئي","لا يلزم خطة مرورية","357.8","5","6.9","12344.1","26.0929926860549,50.1372142631984","26.0921110448133,50.1406550076896","لا","0","7011001992","شركة سالم صالح الحارث للمقاولات العامة","7012035502","الخدمات الهندسية والفنية للاستشارات الهندسية","مدفوع","260416006454","2026-04-06T09:06:04.592000","2146.8"
"34915","47166305834","470320815364","2025-09-11T06:00:00","بلدية غرب الدمام","تمديد تصريح حفر","شبكة الكهرباء","شركة الكهرباء 13.8 ك.ف","البيضاء","الانوار","المحمدية 472","173.34","سارية","الخطوط الرئيسية للخدمات","بدأ الحفر","2025-03-10T00:00:00","2025-09-11T00:00:00","2025-10-10T00:00:00","-","2","60","أفقي","طريق محلي","بدون إغلاق","نعم يلزم خطة مرورية","173.34","7","10","12133.8","26.3626291332691,50.027480830966","26.3639028584638,50.0284893435726","لا","0","7001522221","شركة إنشاءات الخليج العربية للتجارة والمقاولات","7002522444","قمة التطوير للاستشارات الهندسية","-","-","-","-"
"3330","47272013497","470421243804","2025-10-21T07:00:00","بلدية غرب الدمام","شهادة إتمام أعمال","شبكة الكهرباء","شركة الكهرباء 13.8 ك.ف","الدمام","الجود","شارع 3 شرائع المجاهدين","223.5","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2025-01-01T00:00:00","2025-10-21T00:00:00","2025-12-31T00:00:00","-","3","90","أفقي","طريق سريع","إغلاق جزئي","لا يلزم خطة مرورية","223.5","5","8","8940","26.330228328042,50.034818749922","26.3321308442775,50.0355630644122","لا","0","7005133496","مؤسسة يزيد العدواني للمقاولات","7001797708","شركة التصميم الفني للاستشارات الهندسية شركة مهنية","-","-","-","-"
"33651","47179321585","461219954415","2025-08-28T07:00:00","بلدية وسط الدمام","تمديد تصريح حفر","شبكة المياه","شركة المياه الوطنية مشاريع","الدمام","النخيل","عبد الرحمن بن عدي بن مالك بن حرام","434.02","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2022-07-20T00:00:00","2025-08-28T00:00:00","2026-01-20T00:00:00","-","3.7","112","ترانش (مفتوح دقيق)","طريق محلي","إغلاق كلي","لا يلزم خطة مرورية","434.02","4","5","8680.4","26.4397048142694,50.0829174485192","26.4413307260281,50.0868763891877","نعم","1","7012404963","شركة الأعمال المدنية المحدودة","7001827430","شركة أي إل إف مهندسون استشاريون للاستشارات الهندسية","مدفوع","251116046755","2025-11-26T17:07:23.351000","694.43"
"5303","47271854267","470421156469","2025-10-15T08:00:00","بلدية محافظة الخبر","تمديد تصريح حفر","شبكة الصرف","شركة المياه الوطنية مشاريع","الخبر","العقيق","بن شهيد الأندلسي","300.82","سارية","الخطوط الرئيسية للخدمات","تم التمديد","2024-10-15T00:00:00","2025-10-15T00:00:00","2026-10-14T00:00:00","-","5.9","176","عادي (مفتوح)","طريق تجميعي","إغلاق جزئي","لا يلزم خطة مرورية","300.82","4","6.75","8122.14","26.0937333389753,50.1342576283766","26.0930049059957,50.1371544197425","لا","0","7011001992","شركة سالم صالح الحارث للمقاولات العامة","7012035502","الخدمات الهندسية والفنية للاستشارات الهندسية","مدفوع","260416011316","2026-04-08T21:12:09.369000","360.98"
"42728","4762043893","470120270590","2025-07-28T07:30:00","بلدية وسط الدمام","تمديد تصريح حفر","شبكة المياه","شركة المياه الوطنية مشاريع","الدمام","الأثير","خباش","432.52","سارية","الخطوط الرئيسية للخدمات","بدأ الحفر","2022-07-20T00:00:00","2025-07-28T00:00:00","2026-01-20T00:00:00","-","2","59","ترانش (مفتوح دقيق)","طريق محلي","إغلاق كلي","لا يلزم خطة مرورية","432.52","3","5","6487.8","26.4306361549592,50.0559416751668","26.4339144169995,50.0535874079992","نعم","1","7012404963","شركة الأعمال المدنية المحدودة","7001827430","شركة أي إل إف مهندسون استشاريون للاستشارات الهندسية","-","-","-","-"
